Source,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,reviewer1,reviewer2,Include?,Reason,broiler?,Marine,Aquatic,Fish,Chicken,Tadpoles,Hen,Penguin
Web of Science,"Cook, Mark I.; Beissinger, Steven R.; Toranzos, Gary A.; Rodriguez, Roberto A.; Arendt, Wayne J.",Microbial infection affects egg viability and incubation behavior in a tropical passerine.,2005,Behavioral Ecology,16,1,30-36,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Fuetterer, Dieter K.; Kattner, Gerhard","The expedition ANTARKTIS-XX/2 - Cape Town - Cape Town - November 24, 2002 to January 23, 2003.",2005,Berichte zur Polar- und Meeresforschung,495,,31-106,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Ignatev, D.A.; Gordon, R. Ya.; Vorobev, V.V.; Rogachevsky, V.V.",A comparative analysis of restoration of electroencephalographic and protein-synthesizing activities in neocortex and hippocampus in hibernating (ground squirrels) and nonhibernating (rats) animals during exit from hypothermia.,2005,Biofizika,50,1,140-151,,"Vorobyov, Vasily/0000-0002-7716-2580",,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Przybycin, Pawel",Influence of weather conditions on winter mixed-species bird flock dynamics in the deciduous woodlands of Central Europe.,2005,Biota (Race),6,01-Feb,49-54,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Minegishi, Norio",Effect of nest box installation density on usage by tree sparrow and tit species.,2005,Bird Research,1,,A9-A14,,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Short, Lester L.; Horne, Jennifer F.M.","Avifauna of an upland seasonal woodland in Kenya: ecology, behavior, breeding.",2005,Bonner Zoologische Monographien,53,,1-280,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Van Schaik, Carel P.; Brockman, Diane K.","Seasonality in primate ecology, reproduction, and life history: an overview.",2005,Cambridge Studies in Biological and Evolutionary Anthropology,44,,Mar-20,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Nicholson, Kerry L.; Torrence, Shannon M.; Ghioca, Dana M.; Bhattacharjee, Joydeep; Andrei, Adrian E.; Owen, Jennifer; Radke, Nikki Jo A.; Perry, Gad",The influence of temperature and humidity on activity patterns of the lizards Anolis stratulus and Ameiva exsul in the British Virgin Islands.,2005,Caribbean Journal of Science,41,4,870-873,,"Nicholson, Kerry/0000-0001-9951-9897",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Markgraf, Vera; McGlone, Matt",Southern temperate ecosystem responses.,2005,Climate change and biodiversity.,,,142-156,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Nielsen, Jan Tottrup","The significance of timing of laying for production and survival of young in the sparrowhawk Accipiter nisus in Vendsyssel, northern Denmark.",2005,Dansk Ornitologisk Forenings Tidsskrift,99,2,107-114,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Tynan, Cynthia T.; Ainley, David G.; Barth, John A.; Cowles, Timothy J.; Pierce, Stephen D.; Spear, Larry B.",Cetacean distributions relative to ocean processes in the northern California Current System.,2005,Deep-Sea Research Part II Topical Studies in Oceanography,52,01-Feb,145-167,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
